,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,EPS next Y.1,ROA,Target Price,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,Perf YTD,Dividend,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend %,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR,Employees,Current Ratio,Sales Q/Q,Oper. Margin,RSI (14),Optionable,Debt/Eq,EPS Q/Q,Profit Margin,Rel Volume,Prev Close,Shortable,LT Debt/Eq,Earnings,Payout,Avg Volume,Price,Recom,SMA20,SMA50,SMA200,Volume,Change,avg_daily_high_range,avg_daily_low_range,Earnings_BMO,Earnings_AMC,DJIA
MSFT,24.34,4.19,0.001,8010000000.0,0.0074,816520000000.0,20.26,5.03,-0.10400000000000001,7570000000.0,-0.0906,32520000000.000004,1.78,1.09,0.746,0.0066,-0.115,114910000000.0,7.11,0.193,-0.002,1.18,0.0218,11.2,9.1,0.1331,0.07400000000000001,125.39,0.1804,16.95,6.01,0.1368,0.231,0.0034999999999999996,1.84,42.79,0.085,0.17600000000000002,-0.12269999999999999,1.2,0.0181,2.9,0.07200000000000001,0.652,0.2159,3.82,131000,2.9,0.185,0.324,47.84,1,0.94,0.348,0.16399999999999998,1.04,97.4,1,0.86,2019-01-23,0.685,42160000.0,101.93,1.6,-0.0151,-0.035699999999999996,-0.0155,43779394.0,0.04650000000000001,0.0288,0.0388,0,1,1
MSI,24.17,4.78,0.001,167670000.0,0.027999999999999997,19380000000.0,15.21,7.6,-0.835,162890000.0,-0.1363,806000000.0,1.58,2.53,0.889,0.0265,-0.0886,7050000000.0,2.75,0.294,0.0023,4.41,-0.0163,-8.68,,0.0779,-0.004,136.87,0.2853,,,0.1534,0.02,0.0045000000000000005,2.28,35.49,0.132,0.327,-0.1374,0.66,0.0197,1.1,0.004,0.47700000000000004,0.28559999999999997,3.75,15000,1.2,0.132,0.17800000000000002,42.32,1,,0.141,-0.004,0.94,110.76,1,,2019-01-31,,978660.0,115.56,1.9,-0.041100000000000005,-0.0669,-0.026699999999999998,920463.0,0.0433,0.027999999999999997,0.0323,0,1,0
MTB,12.68,11.7,0.002,143440000.0,0.0542,21270000000.0,10.53,14.08,-0.09,131350000.0,-0.12029999999999999,1700000000.0,0.83,3.47,0.826,0.011200000000000002,-0.11289999999999999,4450000000.0,4.78,0.191,-0.0239,1.54,-0.12300000000000001,99.46,1.49,0.1292,0.013999999999999999,182.65,-0.1434,59.52,2.49,0.152,0.113,0.036000000000000004,4.0,14.46,0.042,0.12,-0.2487,0.99,0.027000000000000003,,0.07200000000000001,,0.1084,4.19,15913,,0.10400000000000001,0.865,47.57,1,0.64,0.597,0.369,1.05,143.86,1,0.64,2019-01-17,0.289,949220.0,148.28,2.6,0.0076,-0.0613,-0.1336,992823.0,0.030699999999999998,0.0208,0.0302,1,0,0
MTD,28.5,18.49,0.004,25710000.0,-0.0647,13550000000.0,23.45,22.48,-0.38909999999999995,24470000.0,-0.18309999999999998,480400000.0,2.26,6.75,0.987,0.0315,-0.1419,2900000000.0,4.68,0.193,0.0131,4.22,-0.0973,21.16,24.91,0.1142,0.161,632.09,-0.1653,5.34,98.64,0.126,0.752,-0.0679,,34.47,0.132,0.293,-0.244,1.22,,1.0,0.031,0.574,0.0527,19.84,15400,1.4,0.052000000000000005,0.212,38.13,1,1.97,0.23600000000000002,0.141,1.02,513.56,1,1.86,2019-02-07,0.0,182580.0,527.15,2.7,-0.0791,-0.08779999999999999,-0.0904,186234.0,0.0265,0.034,0.032799999999999996,0,1,0
MU,2.72,12.03,0.002,1170000000.0,0.0241,38270000000.0,4.64,7.05,-0.0564,1070000000.0000001,-0.18309999999999998,14620000000.0,0.11,1.84,0.8,0.0451,-0.2757,31500000000.0,1.21,1.5759999999999998,-0.0199,1.43,-0.3812,29.89,1.09,-0.1247,0.345,47.14,-0.273,4.75,6.88,0.2495,0.49,0.030600000000000002,,4.28,0.588,0.386,-0.4943,1.66,,2.2,0.273,0.596,0.1518,1.82,36000,2.9,0.163,0.491,45.31,1,0.12,0.301,0.46799999999999997,0.84,31.0,1,0.11,2019-12-18,0.0,33680000.0,32.7,2.3,-0.0166,-0.0953,-0.3143,28330848.0,0.0548,0.044500000000000005,0.053,0,1,0
MXIM,18.66,2.68,0.003,286330000.0,0.0018,14330000000.0,16.94,2.96,-0.1796,274930000.0,-0.1231,760800000.0,1.37,0.62,0.9590000000000001,0.043,-0.1216,2540000000.0,5.64,0.266,0.0037,2.72,-0.1675,6.88,7.28,0.0852,,55.65,-0.0674,8.95,5.59,0.136,,-0.0155,1.84,,0.107,0.212,-0.332,1.29,0.0368,3.3,0.003,0.662,0.0733,1.77,7149,3.6,0.109,,46.28,1,0.78,0.29600000000000004,,0.83,47.95,1,0.52,2019-01-29,,4350000.0,50.06,2.7,-0.0236,-0.0334,-0.1213,3591967.0,0.044000000000000004,0.0339,0.0338,0,1,0
MYL,23.3,1.24,0.056799999999999996,520549999.99999994,0.051399999999999994,15010000000.0,5.64,5.12,0.0,486370000.0,-0.1543,652900000.0,3.19,1.4,0.872,0.0149,-0.212,11590000000.0,1.29,0.6659999999999999,0.0058,1.34,-0.2051,23.45,1.23,0.0925,0.016,44.87,-0.33149999999999996,0.98,29.37,0.073,0.043,0.0526,,7.72,-0.001,0.048,-0.3969,1.55,,0.8,0.11900000000000001,0.406,0.10779999999999999,1.14,35000,1.3,-0.042,0.091,48.23,1,1.2,0.83,0.047,0.97,27.23,1,1.1,2019-02-04,0.0,5420000.0,28.84,1.8,0.0029,-0.08869999999999999,-0.2091,5282162.0,0.0591,0.0359,0.0408,0,1,0
NAVI,,-0.13,0.015,261329999.99999997,0.1158,2570000000.0,4.9,2.01,0.0,254070000.0,-0.1362,-29000000.0,,0.48,0.96,0.032,-0.28300000000000003,1720000000.0,1.49,-0.8590000000000001,-0.0108,3.49,-0.2519,14.32,0.69,0.045899999999999996,0.002,14.66,-0.2866,8.2,1.2,-0.06,0.066,0.1158,0.64,3.52,-0.31,0.001,-0.3458,2.05,0.06509999999999999,,-0.11900000000000001,,0.19440000000000002,0.44,6700,,-0.195,0.35100000000000003,50.84,1,27.15,-0.452,0.139,1.2,9.45,1,25.8,2019-01-22,0.7040000000000001,2330000.0,9.83,2.2,0.040999999999999995,-0.09960000000000001,-0.235,2799957.0,0.04019999999999999,0.0444,0.048799999999999996,0,1,0
NBL,22.78,0.91,0.001,502180000.0,0.0942,10390000000.0,22.63,0.91,-0.966,469910000.0,-0.1728,443000000.0,0.33,0.17,,0.044000000000000004,-0.3483,4990000000.0,2.08,-0.637,0.0038,3.24,-0.40659999999999996,21.46,0.96,-0.0449,0.057,37.43,-0.3331,1.76,11.73,0.6801,0.122,0.1023,0.44,,-0.27899999999999997,-0.085,-0.4523,1.26,0.0213,0.8,0.002,0.8809999999999999,0.2086,1.03,2277,0.8,0.326,0.40299999999999997,47.09,1,0.64,2.679,0.251,1.21,19.15,1,0.64,2019-01-31,0.163,6380000.0,20.68,2.2,-0.0018,-0.1231,-0.32030000000000003,7727090.0,0.0799,0.0521,0.048499999999999995,1,0,0
NCLH,10.84,3.97,0.003,228610000.0,0.0354,9840000000.0,8.35,5.15,-0.9582999999999999,217070000.0,-0.16510000000000002,891300000.0,0.79,0.79,0.9458,0.0139,-0.23379999999999998,5920000000.0,1.66,0.18,-0.0016,1.12,-0.077,27.98,1.54,0.057699999999999994,0.061,64.0,-0.2229,1.25,34.34,0.13699999999999998,0.155,0.0151,,28.78,0.28300000000000003,0.085,-0.2967,1.66,,0.2,0.188,0.441,0.0932,1.77,31000,0.2,0.125,0.2,44.14,1,1.06,0.21100000000000002,0.152,0.86,40.71,1,0.95,2019-02-07,0.0,2700000.0,43.03,1.8,-0.0394,-0.0818,-0.1557,2317567.0,0.057,0.0337,0.039900000000000005,1,0,0
NDAQ,20.84,3.93,0.001,169850000.0,0.015600000000000001,13920000000.0,15.66,5.23,-0.0317,133560000.0,-0.1155,662000000.0,1.6,1.24,0.797,0.0291,-0.0444,4170000000.0,3.34,4.963,0.0018,3.74,-0.0928,34.11,2.4,0.0868,0.049,94.94,0.0552,3.1,26.46,0.1305,0.132,0.004699999999999999,1.76,23.88,0.133,0.076,-0.15380000000000002,0.66,0.0215,0.9,0.049,0.604,0.1229,2.36,4416,0.9,-0.001,0.255,45.4,1,0.69,-0.05,0.18,1.33,78.82,1,0.55,2019-01-23,0.364,1040000.0,81.95,2.5,-0.021099999999999997,-0.0475,-0.0794,1382026.0,0.0397,0.0288,0.028399999999999998,1,0,0
NEE,13.48,12.8,0.001,495090000.0,0.0021,85420000000.0,20.58,8.38,-0.2368,477150000.0,-0.0546,6080000000.0,1.57,1.55,0.79,0.014199999999999999,0.0255,16360000000.0,5.22,0.185,0.008100000000000001,3.03,0.023700000000000002,72.4,2.38,0.0793,0.087,186.06,0.1366,1.0,171.87,0.0857,0.262,-0.0074,4.44,21.13,0.102,0.065,-0.0634,0.21,0.025699999999999997,0.6,0.038,,0.18899999999999997,3.75,13900,0.7,-0.081,0.449,46.78,1,0.95,0.201,0.513,1.2,169.41,1,0.79,2019-01-22,0.242,2230000.0,172.53,1.9,-0.022400000000000003,-0.0194,0.0235,2673075.0,0.0184,0.0191,0.0223,1,0,0
NEM,40.83,0.84,0.002,533000000.0,-0.0174,18320000000.0,28.25,1.22,-0.07,531330000.00000006,0.0349,450000000.0,10.12,0.25,0.8759999999999999,0.0223,0.128,7140000000.0,2.57,3.897,0.0103,1.89,-0.1054,19.88,1.73,0.0075,-0.009000000000000001,40.11,-0.09140000000000001,5.86,5.86,0.0404,-0.018000000000000002,-0.0078000000000000005,0.56,36.65,-0.204,0.059000000000000004,-0.1822,0.19,0.0163,4.0,-0.059000000000000004,0.434,0.18309999999999998,1.02,12547,4.7,-0.6829999999999999,0.10300000000000001,54.9,1,0.4,-1.341,-0.026000000000000002,1.38,34.38,1,0.39,2019-01-24,,6260000.0,34.38,2.4,0.0146,0.0478,-0.0273,8622603.0,0.0,0.0252,0.0298,1,0,0
NFLX,102.82,2.89,0.0174,459410000.0,0.16440000000000002,136710000000.00002,71.41,4.17,-0.0819,428440000.0,0.025,1300000000.0,1.67,0.24,0.7609999999999999,0.039900000000000005,-0.2108,14890000000.0,9.18,2.355,-0.0069,1.23,-0.2531,11.5,25.88,0.5654,0.059000000000000004,389.85,0.4512,,,0.6162,0.295,0.1117,,,1.024,0.098,-0.2969,1.2,,1.4,0.265,0.395,0.4587,15.68,5400,1.4,0.34,0.11,61.4,1,1.66,1.79,0.085,1.39,271.2,1,1.66,2019-01-17,0.0,13850000.0,297.57,2.2,0.1252,0.053200000000000004,-0.10529999999999999,19292513.0,0.09720000000000001,0.050199999999999995,0.0594,0,1,0
NFX,6.65,2.4,0.005,210260000.0,0.1007,3360000000.0,4.09,3.9,-0.0151,199250000.0,-0.1054,482000000.0,0.32,0.86,0.9436,0.0717,-0.4593,2480000000.0,1.35,1.3019999999999998,-0.0246,2.05,-0.4675,9.36,1.71,0.0761,0.099,31.61,-0.5178,,,0.2061,0.326,0.08869999999999999,,2.46,0.179,0.134,-0.5466,1.67,,0.7,0.025,0.856,0.28190000000000004,0.9,1010,0.7,0.62,0.40700000000000003,49.85,1,1.3,1.5619999999999998,0.21100000000000002,1.03,15.28,1,1.3,2019-01-30,0.0,6980000.0,15.96,2.4,0.064,-0.1117,-0.37070000000000003,7213652.0,0.044500000000000005,0.0555,0.0602,0,1,0
NI,,-0.29,0.002,380220000.0,0.0083,9710000000.0,19.05,1.34,-0.0401,362040000.0,-0.052000000000000005,-122800000.0,,0.36,0.948,0.0461,0.0294,5020000000.0,1.93,-0.617,0.0206,4.82,-0.047,12.86,1.99,0.046,-0.005,27.38,0.013500000000000002,0.11,232.32,0.0592,-0.021,0.0075,0.78,12.52,-0.222,0.036000000000000004,-0.09140000000000001,0.13,0.0305,0.3,-0.006,0.6579999999999999,0.1381,0.64,8175,0.4,-0.024,0.085,45.26,1,1.87,,-0.02,0.59,25.1,1,1.52,2019-01-31,,3460000.0,25.54,2.4,-0.029300000000000003,-0.0184,0.0018,2047091.0,0.0175,0.019799999999999998,0.0263,1,0,0
NKE,29.05,2.57,0.012,1690000000.0,0.013300000000000001,125990000000.0,23.79,3.14,-0.0223,1260000000.0,-0.042199999999999994,4190000000.0000005,2.05,0.64,0.8290000000000001,0.0092,-0.09519999999999999,38100000000.0,3.31,-0.046,-0.0058,1.44,-0.0248,5.64,13.24,0.18280000000000002,0.084,86.79,0.17600000000000002,2.53,29.51,0.1418,0.192,0.0069,0.88,46.94,0.12300000000000001,0.3,-0.1324,0.66,0.0118,1.5,0.075,0.441,0.2023,2.74,73100,2.3,0.09699999999999999,0.11699999999999999,53.42,1,0.39,0.179,0.051,0.96,72.75,1,0.39,2019-12-20,0.638,8080000.0,74.65,2.2,0.03,0.0128,-0.0017000000000000001,7751748.0,0.026099999999999998,0.026000000000000002,0.036000000000000004,0,1,1
NKTR,8.57,3.96,0.01,174170000.0,0.023799999999999998,5910000000.0,,-1.89,-0.0722,171600000.0,-0.16210000000000002,745700000.0,,-0.54,0.941,0.1131,-0.3685,1250000000.0,4.74,1.883,0.0002,7.89,-0.2857,10.37,3.27,-1.4869999999999999,0.536,78.89,-0.4131,8.16,4.16,-0.073,0.7859999999999999,0.0332,,7.91,0.215,0.564,-0.695,2.69,,13.8,0.305,0.9790000000000001,0.16219999999999998,2.22,509,13.9,-0.818,0.612,46.92,1,0.0,-2.487,0.597,0.93,31.58,1,0.14,2019-02-06,0.0,2460000.0,33.96,1.8,-0.0209,-0.07400000000000001,-0.4316,2287671.0,0.0754,0.0724,0.067,0,1,0
